,Year,County,NIB_FSEX,NIB_NFSEX,NIB_HTRFFCKNG,JRN_FSEX,JRN_NFSEX,Total Population,Total Crime,Crime %
22,2012,ADAMS,19,1,0,0,0,19050,20,0.1
23,2013,ADAMS,26,2,0,3,0,19200,31,0.16
24,2014,ADAMS,19,1,0,0,0,19400,20,0.1
25,2015,ADAMS,26,3,0,1,0,19410,30,0.15
26,2016,ADAMS,18,2,0,1,0,19510,21,0.11
49,2012,ASOTIN,8,1,0,0,0,21700,9,0.04
50,2013,ASOTIN,5,1,0,0,0,21800,6,0.03
51,2014,ASOTIN,10,0,0,1,0,21950,11,0.05
52,2015,ASOTIN,14,0,0,1,0,22010,15,0.07
53,2016,ASOTIN,16,4,0,1,0,22150,21,0.09
76,2012,BENTON,207,10,0,0,0,180000,217,0.12
77,2013,BENTON,179,11,0,13,6,183400,209,0.11
78,2014,BENTON,192,7,0,6,4,186500,209,0.11
79,2015,BENTON,201,6,2,9,6,188590,224,0.12
80,2016,BENTON,187,15,2,19,6,190500,229,0.12
103,2012,CHELAN,10,1,0,0,0,73200,11,0.02
104,2013,CHELAN,46,4,0,5,0,73600,55,0.07
105,2014,CHELAN,46,4,0,3,0,74300,53,0.07
106,2015,CHELAN,42,3,0,3,0,75030,48,0.06
107,2016,CHELAN,39,8,1,3,1,75910,52,0.07
130,2012,CLALLAM,80,13,0,0,0,72000,93,0.13
131,2013,CLALLAM,66,8,0,1,2,72350,77,0.11
132,2014,CLALLAM,52,6,0,1,1,72500,60,0.08
133,2015,CLALLAM,73,7,0,1,1,72650,82,0.11
134,2016,CLALLAM,78,6,0,3,0,73410,87,0.12
157,2012,CLARK,265,15,0,0,0,431250,280,0.06
158,2013,CLARK,211,21,0,2,1,435500,235,0.05
159,2013,GARFIELD,2,0,0,0,0,2250,2,0.09
160,2014,CLARK,235,10,0,6,0,442800,251,0.06
161,2015,CLARK,294,9,0,5,0,451820,308,0.07
162,2016,CLARK,330,6,0,3,0,461010,339,0.07
185,2012,COLUMBIA,4,0,0,0,0,4100,4,0.1
186,2013,COLUMBIA,2,0,0,1,0,4100,3,0.07
187,2014,COLUMBIA,0,0,0,0,0,4080,0,0.0
188,2015,COLUMBIA,0,0,0,0,0,4090,0,0.0
189,2016,COLUMBIA,5,0,0,0,0,4050,5,0.12
212,2012,COWLITZ,114,4,0,0,0,103050,118,0.11
213,2013,COWLITZ,119,3,0,11,1,103300,134,0.13
214,2014,COWLITZ,93,0,0,6,0,103700,99,0.1
215,2015,COWLITZ,102,4,0,10,0,104280,116,0.11
216,2016,COWLITZ,101,0,0,6,0,104850,107,0.1
240,2012,DOUGLAS,25,9,0,0,0,38900,34,0.09
241,2013,DOUGLAS,21,9,0,1,1,39280,32,0.08
242,2014,DOUGLAS,14,3,0,1,0,39700,18,0.05
243,2015,DOUGLAS,12,7,0,0,2,39990,21,0.05
244,2016,DOUGLAS,22,6,0,0,0,40720,28,0.07
261,2012,GARFIELD,4,0,0,0,0,2250,4,0.18
268,2012,FERRY,4,0,0,0,0,7650,4,0.05
