,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,SCF_ASSAULT,SCF_DRUG_CR,SCF_HOMICIDE,SCF_MVT,SCF_OTHFELON,SCF_PROPCR,SCF_ROBBERY,SCF_SEXCR,SCF_TOTAL,JDP_OTHRADP,JDP_POST_ADP,JDP_PRE_ADP,JDP_CAPACITY,JDP_TOTALADP,JST_ASSAULT,JST_BURGLARY,JST_DRUG_CR,JST_MNSLGHTR,JST_MURDER,JST_OTHCRIME,JST_OTHPROPCR,JST_ROBBERY,JST_SEXCR,JST_TOTAL,JST_UNKNOWN,AJS_ASSAULT,AJS_AVG_SENT,AJS_BURGLARY,AJS_DRUG_CR,AJS_MNSLGHTR,AJS_MURDER,AJS_OTHCRIME,AJS_OTHPROPCR,AJS_ROBBERY,AJS_SEXCR,AJS_UNKNOWN,PDP_NEW_ADM,PDP_OTHER,PDP_PAROLE_V,PDP_READM,PDP_TOTAL,PST_ASSAULT,PST_BURGLARY,PST_DRUG_CR,PST_MNSLGHTR,PST_MURDER,PST_OTHCRIME,PST_OTHPROPCR,PST_ROBBERY,PST_SEXCR,PST_TOTAL,PST_UNKNOWN,APS_ASSAULT,APS_AVG_SENT,APS_BURGLARY,APS_DRUG_CR,APS_MNSLGHTR,APS_MURDER,APS_OTHCRIME,APS_OTHPROPCR,APS_ROBBERY,APS_SEXCR,APS_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,JUV_ASSAULT,JUV_BURGLARY,JUV_DRUG_CR,JUV_G_MSDMNR,JUV_MNSLGHTR,JUV_MSDMNR,JUV_MURDER,JUV_OTHFELCRIME,JUV_OTHPROPCR,JUV_ROBBERY,JUV_SEXCR,JUV_TOTAL,MIN_ASSAULT,MIN_AVG_MIN_DISP,MIN_BURGLARY,MIN_DRUG_CR,MIN_G_MSDMNR,MIN_MNSLGHTR,MIN_MSDMNR,MIN_MURDER,MIN_OTHFELCRIME,MIN_OTHPROPCR,MIN_ROBBERY,MIN_SEXCR,MAX_ASSAULT,MAX_AVG_MAX_DISP,MAX_BURGLARY,MAX_DRUG_CR,MAX_G_MSDMNR,MAX_MNSLGHTR,MAX_MSDMNR,MAX_MURDER,MAX_OTHFELCRIME,MAX_OTHPROPCR,MAX_ROBBERY,MAX_SEXCR,Total Population
22,2012,ADAMS,2490,967,2740,3278,9475,2541,1073,2882,3079,9575,0,0,0,0,0,0,0,0,0,10,252,0,182,516,90,0,12,19,0,0,3,0,0,1,0,1417,1,346,8,152,689,1915,71,61,9,0,12,19,0,6,176,3,0,36,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,3.0,8,12,8,11,72,-99.0,-99.0,-99.0,28,21.0,11,0,6,0,0,7,11,0,3,39,1,2.9,3.5,0.0,1.6,0.0,0.0,4.0,3.2,0.0,9.2,4.0,6,0,10,9,15,6,1,4,0,1,3,3,2,2,22,0,45.0,43.2,60.0,15.0,0.0,160.0,18.7,31.7,81.0,43.5,0.0,0,0,9,26,0,5,69,0,2,12,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,6,0,4,0,15,0,10,0,1,7,0,0,37,0.0,45.5,124.75,0.0,12.125,0,19.0,0.0,105.0,101.2,0.0,0.0,0.0,60.4,184.25,0.0,12.125,0.0,19.0,0.0,252.0,125.0,0.0,0.0,19050
23,2013,ADAMS,2412,1050,2747,3230,9439,2544,1083,2930,3201,9761,0,0,0,0,0,0,0,0,0,7,281,0,199,551,67,1,25,26,0,0,6,0,3,2,0,1472,2,376,8,123,681,1971,58,54,0,0,0,0,0,0,0,0,0,0,0,0,145,0,8,14,13,1,0,4,0,114,0,5,0,1,0,0,0,3,41,376,22,5,22,10,2,0.0,7,15,0,8,64,-99.0,-99.0,-99.0,28,19.0,9,3,8,0,0,4,6,1,2,33,0,5.2,4.2,2.7,2.4,0.0,0.0,4.8,3.5,4.3,9.0,0.0,17,0,21,8,25,10,3,1,0,0,1,7,4,3,29,0,42.9,38.1,29.6,12.0,0.0,0.0,12.0,18.5,69.8,51.3,0.0,0,0,0,0,0,0,0,0,0,0,0,2,30,5,21,33,0,0,3,29,0,0,0,0,0,0,3,31,159,0,2,0,2,0,0,2,1,0,0,19,0,7,0,0,1,1,0,29,79.0,34.4,0.0,0.0,9.2,0,12.25,0.0,0.0,364.0,294.0,0.0,112.0,41.1,0.0,0.0,9.2,0.0,12.25,0.0,0.0,455.0,364.0,0.0,19200
24,2014,ADAMS,2468,1066,2755,3228,9518,2606,1121,2932,3222,9882,0,0,0,0,0,0,0,0,0,10,314,0,190,523,88,1,28,19,0,0,3,0,1,1,1,1402,0,434,8,124,642,1960,96,35,0,0,0,0,0,0,0,0,0,0,0,6,127,0,26,15,32,0,3,4,0,154,0,3,0,1,0,0,0,0,72,488,36,9,35,20,0,4.0,42,44,0,16,161,-99.0,-99.0,-99.0,28,26.0,5,2,5,0,0,5,3,0,1,21,0,3.4,2.9,4.7,1.0,0.0,0.0,1.9,3.0,0.0,12.0,0.0,14,0,7,7,21,6,2,1,0,0,3,3,0,5,20,0,25.3,32.8,12.0,12.0,0.0,0.0,22.0,28.9,0.0,63.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,3,47,0,0,0,17,0,0,0,0,0,0,2,50,162,0,2,0,3,1,0,4,1,1,0,33,0,6,0,0,5,4,3,53,0.0,30.0,20.0,0.0,8.111111111,0,5.0,0.0,0.0,14.5,164.0,182.0,0.0,35.2,20.0,0.0,10.33333333,0.0,5.0,0.0,0.0,14.5,180.33333330000002,227.5,19400
25,2015,ADAMS,2552,1128,2748,3097,9525,2681,1195,2901,3108,9885,0,0,0,0,0,0,0,0,0,8,256,0,189,326,93,0,17,26,0,0,6,0,0,3,0,1128,0,352,11,127,577,1607,61,34,0,0,0,0,0,0,0,0,0,0,0,2,119,0,23,18,43,0,1,8,0,191,0,6,0,0,0,0,0,8,68,511,17,7,31,28,0,8.0,15,24,2,11,119,-99.0,-99.0,-99.0,28,27.0,6,2,5,0,0,3,7,0,1,24,0,5.5,3.2,2.0,1.1,0.0,0.0,4.3,2.2,0.0,6.0,0.0,12,0,13,11,23,5,2,2,0,0,1,3,0,5,18,0,55.6,34.3,41.0,12.4,0.0,0.0,12.8,37.3,0.0,21.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,6,33,0,0,1,40,0,0,0,0,0,0,1,45,163,1,1,0,5,1,0,6,1,0,1,23,0,16,0,0,2,0,0,43,105.0,13.2,0.0,0.0,12.7,0,8.714285713999999,0.0,0.0,14.5,0.0,0.0,252.0,16.6,0.0,0.0,12.7,0.0,8.714285713999999,0.0,0.0,14.5,0.0,0.0,19410
26,2016,ADAMS,2645,1192,2751,3008,9596,2731,1267,2896,3020,9914,0,0,0,0,0,0,0,0,0,1,280,0,144,255,116,0,6,18,0,0,2,0,1,2,1,876,1,373,8,149,462,1398,70,31,0,0,0,0,0,0,0,0,0,0,0,0,146,0,10,23,72,0,1,6,0,218,0,4,0,1,1,0,2,3,67,584,19,11,13,43,1,6.0,15,28,0,5,111,-99.0,-99.0,-99.0,28,22.0,12,2,7,0,0,4,16,0,2,43,0,3.8,3.0,1.0,2.1,0.0,0.0,2.4,2.3,0.0,10.5,0.0,9,1,34,11,21,9,1,3,0,0,2,2,0,2,19,0,44.0,31.4,22.5,14.7,0.0,0.0,18.0,21.0,0.0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,3,27,0,0,1,25,0,0,0,0,0,0,1,28,127,0,5,0,2,0,0,2,0,0,0,25,0,15,0,0,6,0,2,48,0.0,21.7,0.0,0.0,26.38461538,0,10.11111111,0.0,0.0,33.6,0.0,15.0,0.0,27.6,0.0,0.0,30.69230769,0.0,10.11111111,0.0,0.0,63.0,0.0,15.0,19510
49,2012,ASOTIN,1526,705,2610,6316,11157,1494,726,2460,5863,10543,0,0,0,0,0,0,0,0,0,1,264,0,91,213,152,0,7,8,0,0,0,1,0,1,0,974,0,286,6,177,656,1437,12,25,5,0,6,39,0,3,928,0,1,91,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,65,1,7.0,33,60,6,17,221,-99.0,-99.0,-99.0,23,45.0,30,2,25,0,0,6,27,2,0,93,1,3.9,2.6,5.5,1.8,0.0,0.0,1.6,1.7,6.0,0.0,6.5,20,0,92,18,38,11,3,14,0,0,4,5,0,1,39,1,28.6,25.4,30.9,15.0,0.0,0.0,28.4,12.8,0.0,136.0,60.0,3,0,0,5,0,0,49,0,0,22,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,6,0,1,4,27,0,13,0,1,8,0,1,55,0.0,80.6,15.0,69.25,86.5,0,28.2,0.0,252.0,135.33333330000002,0.0,105.0,0.0,83.8,15.0,76.25,86.5,0.0,28.2,0.0,252.0,135.33333330000002,0.0,252.0,21700
50,2013,ASOTIN,1560,699,2614,6311,11185,1526,716,2456,5915,10615,0,0,0,0,0,0,0,0,0,1,267,0,130,261,97,0,6,5,0,0,5,0,0,1,1,1082,0,278,12,131,672,1491,0,33,0,0,0,0,0,0,0,0,0,0,0,0,119,0,18,28,28,0,0,1,0,1327,0,1,0,0,1,0,0,8,134,1682,0,17,42,53,0,2.0,29,68,7,6,207,-99.0,-99.0,-99.0,23,50.0,33,10,34,0,0,9,28,1,2,119,2,2.7,2.4,3.0,1.6,0.0,0.0,2.0,2.5,6.0,6.5,2.8,29,0,88,21,50,11,6,21,1,0,4,8,0,0,51,0,26.6,22.8,29.5,22.1,26.0,0.0,14.3,18.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,6,20,0,0,0,35,0,0,0,0,0,0,0,41,124,0,2,0,7,3,2,10,5,6,3,46,0,43,0,1,16,0,4,124,124.25,34.0,74.25,0.0,11.46666667,0,4.8888888889999995,0.0,21.0,112.8,0.0,145.0,178.5,39.2,111.0,0.0,11.46666667,0.0,5.375,0.0,21.0,121.2,0.0,145.0,21800
51,2014,ASOTIN,1573,700,2585,6353,11212,1537,721,2423,6057,10738,0,0,0,0,0,0,0,0,0,4,262,1,134,246,65,0,9,10,0,0,0,0,1,0,0,958,1,273,5,78,559,1309,0,12,0,0,0,0,0,0,0,0,0,0,0,0,94,1,12,15,22,0,1,0,0,1094,0,0,0,1,0,0,1,0,55,1303,0,7,39,49,1,3.0,26,46,4,13,181,-99.0,-99.0,-99.0,23,58.0,16,8,19,0,0,9,18,0,0,70,0,3.6,2.6,2.3,2.9,0.0,0.0,2.6,1.4,0.0,0.0,0.0,27,1,85,19,47,13,5,12,0,0,5,11,3,2,51,0,23.9,29.0,34.4,39.7,0.0,0.0,21.6,15.7,29.7,74.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,18,0,0,0,0,0,0,1,3,29,0,1,0,2,3,1,5,3,3,6,21,0,22,0,1,11,0,2,69,427.0,109.7,0.0,51.33333333,101.8571429,0,122.2,0.0,0.0,99.33333333,0.0,30.0,534.3333333,127.2,0.0,67.66666667,111.8571429,0.0,136.2,0.0,0.0,123.83333329999999,0.0,30.0,21950
52,2015,ASOTIN,1576,714,2565,6377,11233,1538,725,2408,6106,10777,0,0,0,0,0,0,0,0,0,4,273,0,86,276,55,0,4,14,0,0,1,0,2,0,2,1081,0,290,11,71,700,1442,0,14,0,0,0,0,0,0,0,0,0,0,0,0,125,0,16,24,12,0,0,1,0,1059,0,0,0,2,0,1,0,2,174,1418,0,2,37,54,7,3.0,18,63,2,20,204,-99.0,-99.0,-99.0,23,64.0,16,7,16,0,0,12,31,1,0,83,0,3.8,2.6,2.8,2.2,0.0,0.0,2.4,2.0,6.0,0.0,0.0,30,1,132,20,51,6,1,17,0,0,9,9,2,3,47,0,26.0,34.9,12.0,27.0,0.0,0.0,25.0,25.5,180.0,66.3,0.0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,16,21,0,0,1,31,0,0,0,0,0,0,3,45,151,0,10,0,5,1,1,6,5,3,5,42,0,45,0,1,12,1,4,118,130.6666667,22.9,9.5,12.33333333,14.875,0,9.625,0.0,0.0,7.5,301.0,128.3333333,130.6666667,24.6,9.5,12.33333333,14.875,0.0,9.625,0.0,0.0,7.5,301.0,177.33333330000002,22010
53,2016,ASOTIN,1567,728,2527,6463,11285,1541,729,2375,6219,10865,0,0,0,0,0,0,0,0,0,2,284,0,114,252,39,0,7,16,0,0,1,0,1,4,1,1081,0,306,2,52,704,1439,0,12,0,0,0,0,0,0,0,0,0,0,0,0,117,0,16,31,16,0,1,1,0,1119,0,1,0,2,0,0,0,3,162,1474,0,5,38,38,2,7.0,35,80,2,21,223,-99.0,-99.0,-99.0,42,52.0,14,9,19,0,0,12,39,0,2,95,0,3.0,2.4,2.2,2.1,0.0,0.0,2.9,2.0,0.0,9.0,0.0,42,6,178,17,65,13,4,8,1,1,3,8,7,8,53,0,51.4,65.6,47.4,33.9,207.0,548.0,18.7,29.0,45.4,123.3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,4,9,0,0,1,29,0,0,0,0,0,0,0,15,72,0,0,0,10,1,0,11,4,4,2,23,0,22,0,0,22,1,1,79,144.66666669999998,57.3,166.33333330000002,8.5,17.125,0,16.66666667,0.0,0.0,79.63636364,721.0,30.0,193.66666669999998,66.4,215.33333330000002,8.5,17.125,0.0,16.66666667,0.0,0.0,86.2,903.0,30.0,22150
