,Year,County,Females (Age 0-11),Females (Age 12-17),Females (Age 18-39),Females (Age >40),Total Female,Males (Age 0-11),Males (Age 12-17),Males (Age 18-39),Males (Age >40),Total Male,SRS_AG_ASSLT,SRS_ARSON,SRS_BURGLARY,SRS_MURDER,SRS_MVT,SRS_RAPE,SRS_ROBBERY,SRS_THEFT,SRS_TOTAL,NIB_ARSON,NIB_ASSAULT,NIB_BRIBERY,NIB_BURGLARY,NIB_DESTPROP,NIB_DRUGVIOL,NIB_EXTORTION,NIB_FORGERY,NIB_FSEX,NIB_GAMBVIOL,NIB_HTRFFCKNG,NIB_KIDNAP,NIB_MNSLGHTR,NIB_MURDER,NIB_NFSEX,NIB_PORN,NIB_PROPTOT,NIB_PROST,NIB_PRSNTOT,NIB_ROBBERY,NIB_SCTYTOT,NIB_THEFT,NIB_TOTAL,NIB_VIOLNCO,NIB_WEAPVIOL,ARR_AG_ASSLT,ARR_ARSON,ARR_BURGLARY,ARR_DRUG_CR,ARR_MURDER,ARR_MVT,ARR_OTHCRIME,ARR_RAPE,ARR_ROBBERY,ARR_THEFT,ARR_TOTAL,ARN_ARSON,ARN_ASSAULT,ARN_BRIBERY,ARN_BURGLARY,ARN_DESTPROP,ARN_DRUGVIOL,ARN_EXTORTION,ARN_FORGERY,ARN_FSEX,ARN_GAMBVIOL,ARN_GROUP_B,ARN_HTRFFCKNG,ARN_KIDNAP,ARN_MNSLGHTR,ARN_MURDER,ARN_NFSEX,ARN_PORN,ARN_PROST,ARN_ROBBERY,ARN_THEFT,ARN_TOTAL,ARN_VIOLNCO,ARN_WEAPVIOL,JST_UNKNOWN,JRR_AG_ASSLT,JRR_ARSON,JRR_BURGLARY,JRR_DRUG_CR,JRR_MURDER,JRR_MVT,JRR_OTHFELCRIME,JRR_RAPE,JRR_ROBBERY,JRR_THEFT,JRR_TOTAL,JRN_ARSON,JRN_ASSAULT,JRN_BURGLARY,JRN_DESTPROP,JRN_DRUGVIOL,JRN_EXTORTION,JRN_FORGERY,JRN_FSEX,JRN_GROUP_B,JRN_KIDNAP,JRN_MNSLGHTR,JRN_MURDER,JRN_NFSEX,JRN_PORN,JRN_PROST,JRN_ROBBERY,JRN_THEFT,JRN_TOTAL,JRN_VIOLNCO,JRN_WEAPVIOL,JAD_DOC_ADM,JAD_NEW_ADM,JAD_READM,JAD_PAROLE_R,JAD_TOTAL,Total Population
22,2012,ADAMS,2490,967,2740,3278,9475,2541,1073,2882,3079,9575,0,0,0,0,0,0,0,0,0,10,252,0,182,516,90,0,12,19,0,0,3,0,0,1,0,1417,1,346,8,152,689,1915,71,61,9,0,12,19,0,6,176,3,0,36,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,26,0,5,69,0,2,12,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,6,19050
23,2013,ADAMS,2412,1050,2747,3230,9439,2544,1083,2930,3201,9761,0,0,0,0,0,0,0,0,0,7,281,0,199,551,67,1,25,26,0,0,6,0,3,2,0,1472,2,376,8,123,681,1971,58,54,0,0,0,0,0,0,0,0,0,0,0,0,145,0,8,14,13,1,0,4,0,114,0,5,0,1,0,0,0,3,41,376,22,5,0,0,0,0,0,0,0,0,0,0,0,0,2,30,5,21,33,0,0,3,29,0,0,0,0,0,0,3,31,159,0,2,0,2,0,0,2,19200
24,2014,ADAMS,2468,1066,2755,3228,9518,2606,1121,2932,3222,9882,0,0,0,0,0,0,0,0,0,10,314,0,190,523,88,1,28,19,0,0,3,0,1,1,1,1402,0,434,8,124,642,1960,96,35,0,0,0,0,0,0,0,0,0,0,0,6,127,0,26,15,32,0,3,4,0,154,0,3,0,1,0,0,0,0,72,488,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,3,47,0,0,0,17,0,0,0,0,0,0,2,50,162,0,2,0,3,1,0,4,19400
25,2015,ADAMS,2552,1128,2748,3097,9525,2681,1195,2901,3108,9885,0,0,0,0,0,0,0,0,0,8,256,0,189,326,93,0,17,26,0,0,6,0,0,3,0,1128,0,352,11,127,577,1607,61,34,0,0,0,0,0,0,0,0,0,0,0,2,119,0,23,18,43,0,1,8,0,191,0,6,0,0,0,0,0,8,68,511,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,6,33,0,0,1,40,0,0,0,0,0,0,1,45,163,1,1,0,5,1,0,6,19410
26,2016,ADAMS,2645,1192,2751,3008,9596,2731,1267,2896,3020,9914,0,0,0,0,0,0,0,0,0,1,280,0,144,255,116,0,6,18,0,0,2,0,1,2,1,876,1,373,8,149,462,1398,70,31,0,0,0,0,0,0,0,0,0,0,0,0,146,0,10,23,72,0,1,6,0,218,0,4,0,1,1,0,2,3,67,584,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,3,27,0,0,1,25,0,0,0,0,0,0,1,28,127,0,5,0,2,0,0,2,19510
49,2012,ASOTIN,1526,705,2610,6316,11157,1494,726,2460,5863,10543,0,0,0,0,0,0,0,0,0,1,264,0,91,213,152,0,7,8,0,0,0,1,0,1,0,974,0,286,6,177,656,1437,12,25,5,0,6,39,0,3,928,0,1,91,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,49,0,0,22,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,6,21700
50,2013,ASOTIN,1560,699,2614,6311,11185,1526,716,2456,5915,10615,0,0,0,0,0,0,0,0,0,1,267,0,130,261,97,0,6,5,0,0,5,0,0,1,1,1082,0,278,12,131,672,1491,0,33,0,0,0,0,0,0,0,0,0,0,0,0,119,0,18,28,28,0,0,1,0,1327,0,1,0,0,1,0,0,8,134,1682,0,17,2,0,0,0,0,0,0,0,0,0,0,0,1,14,5,6,20,0,0,0,35,0,0,0,0,0,0,0,41,124,0,2,0,7,3,2,10,21800
51,2014,ASOTIN,1573,700,2585,6353,11212,1537,721,2423,6057,10738,0,0,0,0,0,0,0,0,0,4,262,1,134,246,65,0,9,10,0,0,0,0,1,0,0,958,1,273,5,78,559,1309,0,12,0,0,0,0,0,0,0,0,0,0,0,0,94,1,12,15,22,0,1,0,0,1094,0,0,0,1,0,0,1,0,55,1303,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,18,0,0,0,0,0,0,1,3,29,0,1,0,2,3,1,5,21950
52,2015,ASOTIN,1576,714,2565,6377,11233,1538,725,2408,6106,10777,0,0,0,0,0,0,0,0,0,4,273,0,86,276,55,0,4,14,0,0,1,0,2,0,2,1081,0,290,11,71,700,1442,0,14,0,0,0,0,0,0,0,0,0,0,0,0,125,0,16,24,12,0,0,1,0,1059,0,0,0,2,0,1,0,2,174,1418,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,16,21,0,0,1,31,0,0,0,0,0,0,3,45,151,0,10,0,5,1,1,6,22010
53,2016,ASOTIN,1567,728,2527,6463,11285,1541,729,2375,6219,10865,0,0,0,0,0,0,0,0,0,2,284,0,114,252,39,0,7,16,0,0,1,0,1,4,1,1081,0,306,2,52,704,1439,0,12,0,0,0,0,0,0,0,0,0,0,0,0,117,0,16,31,16,0,1,1,0,1119,0,1,0,2,0,0,0,3,162,1474,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,4,9,0,0,1,29,0,0,0,0,0,0,0,15,72,0,0,0,10,1,0,11,22150
76,2012,BENTON,15434,7697,25210,41728,90068,16206,8246,25920,39562,89932,0,0,0,0,0,0,0,0,0,34,2006,0,851,2055,1529,2,112,207,0,0,33,3,1,10,18,7507,3,2742,56,1744,4397,11993,482,194,106,3,56,436,0,10,2657,4,29,432,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,58,170,0,1,568,1,7,276,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,19,36,180000
77,2013,BENTON,15698,7789,25615,42622,91722,16440,8354,26371,40513,91678,0,0,0,0,0,0,0,0,0,27,2108,2,839,1870,871,4,127,179,0,0,26,2,7,11,16,7320,6,2765,60,1075,4391,11160,432,182,0,0,0,0,0,0,0,0,0,0,0,0,942,0,97,164,359,2,38,16,0,2223,0,17,3,8,13,3,3,21,986,5188,224,69,3,0,0,0,0,0,0,0,0,0,0,0,4,200,34,73,202,1,0,13,257,0,0,0,6,1,0,5,317,1136,4,19,3,30,7,8,40,183400
78,2014,BENTON,15889,7866,25902,43565,93222,16608,8436,26712,41521,93278,0,0,0,0,0,0,0,0,0,27,1970,0,906,1585,844,2,100,192,0,0,31,0,8,7,23,7125,11,2760,59,1079,4446,10964,552,201,0,0,0,0,0,0,0,0,0,0,0,2,980,1,117,171,322,0,27,18,0,2119,0,16,0,2,7,2,9,22,1063,5240,290,72,0,0,0,0,0,0,0,0,0,0,0,0,6,221,64,67,201,0,1,6,259,2,1,1,4,4,0,7,294,1169,12,19,0,19,5,12,24,186500
79,2015,BENTON,15952,7950,25961,44291,94155,16636,8510,26791,42498,94435,0,0,0,0,0,0,0,0,0,38,1995,0,750,1621,855,9,111,201,0,2,49,0,3,6,26,6872,13,2815,37,1051,4306,10738,559,157,0,0,0,0,0,0,0,0,0,0,0,2,874,0,114,125,349,2,17,22,0,1808,0,22,0,3,8,3,3,17,997,4721,306,49,0,0,0,0,0,0,0,0,0,0,0,0,6,211,69,69,135,0,1,9,225,4,0,0,6,3,0,6,283,1068,19,22,0,20,5,5,25,188590
80,2016,BENTON,16053,8049,25922,44930,94953,16781,8586,26794,43386,95547,0,0,0,0,0,0,0,0,0,45,1850,0,702,1687,877,6,129,187,1,2,34,1,3,15,26,7162,13,2623,54,1085,4539,10870,531,168,0,0,0,0,0,0,0,0,0,0,0,3,845,0,88,162,310,3,25,30,0,1543,0,17,0,2,15,3,3,23,930,4368,314,52,0,0,0,0,0,0,0,0,0,0,0,0,0,183,41,74,183,1,0,19,226,0,0,0,6,5,0,9,235,1016,12,22,0,19,6,4,25,190500
103,2012,CHELAN,5675,2960,9178,18899,36712,6072,3043,9615,17758,36488,0,0,0,0,0,0,0,0,0,0,269,0,179,201,104,0,10,10,0,0,3,0,1,1,0,872,0,355,6,122,476,1349,71,18,41,0,36,135,1,7,946,4,8,222,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,20,0,6,103,0,1,65,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,1,15,73200
104,2013,CHELAN,5648,2917,9238,19074,36877,6102,3035,9638,17947,36723,0,0,0,0,0,0,0,0,0,9,625,0,297,415,276,1,75,46,0,0,1,0,1,4,2,2408,1,894,14,336,1597,3638,217,57,0,0,0,0,0,0,0,0,0,0,0,2,431,0,36,114,167,0,13,11,0,705,0,2,0,0,1,1,0,9,419,2068,135,22,0,0,0,0,0,0,0,0,0,0,0,0,1,42,7,12,41,0,1,5,39,1,0,0,0,0,0,1,101,260,1,8,0,9,2,1,11,73600
105,2014,CHELAN,5649,2910,9235,19459,37253,6133,3029,9618,18267,37047,0,0,0,0,0,0,0,0,0,5,557,1,350,244,368,2,43,46,0,0,5,0,0,4,2,2014,1,800,16,419,1353,3233,188,48,0,0,0,0,0,0,0,0,0,0,0,4,399,1,52,73,202,1,11,5,0,619,0,8,0,1,0,0,0,8,381,1902,115,22,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,17,35,0,0,3,50,0,0,0,0,0,0,1,82,235,0,5,0,9,0,0,9,74300
106,2015,CHELAN,5658,2908,9206,19825,37597,6149,3048,9563,18673,37433,0,0,0,0,0,0,0,0,0,6,638,1,372,291,389,1,60,42,0,0,1,0,0,3,1,2289,0,889,8,438,1550,3616,205,48,0,0,0,0,0,0,0,0,0,0,0,2,464,0,50,87,191,0,12,12,0,696,0,2,0,0,2,0,0,3,371,2054,145,17,0,0,0,0,0,0,0,0,0,0,0,0,3,42,20,26,43,0,0,3,50,0,0,0,0,0,0,0,89,276,0,0,0,9,3,0,12,75030
107,2016,CHELAN,5686,2918,9141,20280,38025,6208,3087,9463,19127,37885,0,0,0,0,0,0,0,0,0,7,645,0,364,267,426,1,39,39,0,1,19,1,0,8,4,2338,9,913,15,505,1645,3756,200,66,0,0,0,0,0,0,0,0,0,0,0,2,430,0,63,66,238,0,6,15,0,728,0,17,0,0,0,0,9,8,326,2061,132,21,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,11,41,0,0,3,41,0,1,0,1,0,0,3,62,235,0,5,0,12,3,2,15,75910
130,2012,CLALLAM,3984,2149,7345,22807,36284,4258,2299,8610,20548,35716,0,0,0,0,0,0,0,0,0,7,915,1,642,788,373,3,126,80,0,0,23,1,5,13,4,3552,2,1241,25,444,1960,5237,204,65,51,0,39,111,3,8,764,3,8,258,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,23,1,3,126,0,0,53,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,6,18,72000
