,Year,County,NIB_SCTYTOT,NIB_DRUGVIOL,JRN_DRUGVIOL,Total Population,Total Crime,Crime %
22,2012,ADAMS,152,90,0,19050,242,1.27
23,2013,ADAMS,123,67,33,19200,223,1.16
24,2014,ADAMS,124,88,47,19400,259,1.34
25,2015,ADAMS,127,93,33,19410,253,1.3
26,2016,ADAMS,149,116,27,19510,292,1.5
49,2012,ASOTIN,177,152,0,21700,329,1.52
50,2013,ASOTIN,131,97,20,21800,248,1.14
51,2014,ASOTIN,78,65,1,21950,144,0.66
52,2015,ASOTIN,71,55,21,22010,147,0.67
53,2016,ASOTIN,52,39,9,22150,100,0.45
76,2012,BENTON,1744,1529,0,180000,3273,1.82
77,2013,BENTON,1075,871,202,183400,2148,1.17
78,2014,BENTON,1079,844,201,186500,2124,1.14
79,2015,BENTON,1051,855,135,188590,2041,1.08
80,2016,BENTON,1085,877,183,190500,2145,1.13
103,2012,CHELAN,122,104,0,73200,226,0.31
104,2013,CHELAN,336,276,41,73600,653,0.89
105,2014,CHELAN,419,368,35,74300,822,1.11
106,2015,CHELAN,438,389,43,75030,870,1.16
107,2016,CHELAN,505,426,41,75910,972,1.28
130,2012,CLALLAM,444,373,0,72000,817,1.13
131,2013,CLALLAM,405,319,42,72350,766,1.06
132,2014,CLALLAM,376,319,22,72500,717,0.99
133,2015,CLALLAM,304,240,12,72650,556,0.77
134,2016,CLALLAM,333,257,9,73410,599,0.82
157,2012,CLARK,1449,1276,0,431250,2725,0.63
158,2013,CLARK,1091,938,71,435500,2100,0.48
159,2013,GARFIELD,25,17,0,2250,42,1.87
160,2014,CLARK,1088,943,80,442800,2111,0.48
161,2015,CLARK,1192,1010,59,451820,2261,0.5
162,2016,CLARK,1172,1006,41,461010,2219,0.48
185,2012,COLUMBIA,2,1,0,4100,3,0.07
186,2013,COLUMBIA,0,0,0,4100,0,0.0
187,2014,COLUMBIA,0,0,0,4080,0,0.0
188,2015,COLUMBIA,1,1,0,4090,2,0.05
189,2016,COLUMBIA,3,3,0,4050,6,0.15
212,2012,COWLITZ,851,739,0,103050,1590,1.54
213,2013,COWLITZ,890,711,59,103300,1660,1.61
214,2014,COWLITZ,862,751,64,103700,1677,1.62
215,2015,COWLITZ,843,719,49,104280,1611,1.54
216,2016,COWLITZ,941,799,51,104850,1791,1.71
240,2012,DOUGLAS,257,241,0,38900,498,1.28
241,2013,DOUGLAS,145,115,22,39280,282,0.72
242,2014,DOUGLAS,125,108,25,39700,258,0.65
243,2015,DOUGLAS,192,150,27,39990,369,0.92
244,2016,DOUGLAS,224,183,34,40720,441,1.08
261,2012,GARFIELD,32,23,0,2250,55,2.44
268,2012,FERRY,8,7,0,7650,15,0.2
269,2013,FERRY,3,2,0,7650,5,0.07
270,2014,FERRY,28,27,0,7660,55,0.72
271,2015,FERRY,5,4,0,7710,9,0.12
272,2016,FERRY,0,0,0,7700,0,0.0
295,2012,FRANKLIN,666,546,0,82500,1212,1.47
296,2013,FRANKLIN,416,326,61,84800,803,0.95
297,2014,FRANKLIN,487,399,68,86600,954,1.1
298,2015,FRANKLIN,538,440,58,87150,1036,1.19
299,2016,FRANKLIN,608,503,80,88670,1191,1.34
321,2014,GARFIELD,19,13,0,2240,32,1.43
322,2015,GARFIELD,29,18,0,2260,47,2.08
323,2016,GARFIELD,26,19,0,2200,45,2.05
346,2012,GRANT,599,513,0,91000,1112,1.22
347,2013,GRANT,430,333,37,91800,800,0.87
348,2014,GRANT,522,439,43,92900,1004,1.08
349,2015,GRANT,487,420,40,93930,947,1.01
350,2016,GRANT,569,486,33,94610,1088,1.15
373,2012,GRAYS HARBOR,619,527,0,73150,1146,1.57
374,2013,GRAYS HARBOR,543,478,24,73200,1045,1.43
375,2014,GRAYS HARBOR,543,442,29,73300,1014,1.38
376,2015,GRAYS HARBOR,643,514,20,73110,1177,1.61
377,2016,GRAYS HARBOR,536,436,12,72820,984,1.35
