,Year,County,JRN_TOTAL,NIB_TOTAL,Total Male,Total Female,Total Population,Total Crime,Male Crime %,Female Crime %
22,2012,ADAMS,0,1915,9575,9475,19050,1915,20.0,20.21
23,2013,ADAMS,159,1971,9761,9439,19200,2130,21.82,22.57
24,2014,ADAMS,162,1960,9882,9518,19400,2122,21.47,22.29
25,2015,ADAMS,163,1607,9885,9525,19410,1770,17.91,18.58
26,2016,ADAMS,127,1398,9914,9596,19510,1525,15.38,15.89
49,2012,ASOTIN,0,1437,10543,11157,21700,1437,13.63,12.88
50,2013,ASOTIN,124,1491,10615,11185,21800,1615,15.21,14.44
51,2014,ASOTIN,29,1309,10738,11212,21950,1338,12.46,11.93
52,2015,ASOTIN,151,1442,10777,11233,22010,1593,14.78,14.18
53,2016,ASOTIN,72,1439,10865,11285,22150,1511,13.91,13.39
76,2012,BENTON,0,11993,89932,90068,180000,11993,13.34,13.32
77,2013,BENTON,1136,11160,91678,91722,183400,12296,13.41,13.41
78,2014,BENTON,1169,10964,93278,93222,186500,12133,13.01,13.02
79,2015,BENTON,1068,10738,94435,94155,188590,11806,12.5,12.54
80,2016,BENTON,1016,10870,95547,94953,190500,11886,12.44,12.52
103,2012,CHELAN,0,1349,36488,36712,73200,1349,3.7,3.67
104,2013,CHELAN,260,3638,36723,36877,73600,3898,10.61,10.57
105,2014,CHELAN,235,3233,37047,37253,74300,3468,9.36,9.31
106,2015,CHELAN,276,3616,37433,37597,75030,3892,10.4,10.35
107,2016,CHELAN,235,3756,37885,38025,75910,3991,10.53,10.5
130,2012,CLALLAM,0,5237,35716,36284,72000,5237,14.66,14.43
131,2013,CLALLAM,249,5081,35891,36459,72350,5330,14.85,14.62
132,2014,CLALLAM,190,4673,35997,36503,72500,4863,13.51,13.32
133,2015,CLALLAM,143,4923,36147,36503,72650,5066,14.01,13.88
134,2016,CLALLAM,165,4359,36542,36868,73410,4524,12.38,12.27
157,2012,CLARK,0,22287,212917,218333,431250,22287,10.47,10.21
158,2013,CLARK,908,19582,215062,220438,435500,20490,9.53,9.3
159,2013,GARFIELD,9,164,1107,1143,2250,173,15.63,15.14
160,2014,CLARK,772,18421,218629,224171,442800,19193,8.78,8.56
161,2015,CLARK,883,20878,223138,228682,451820,21761,9.75,9.52
162,2016,CLARK,692,20517,227826,233184,461010,21209,9.31,9.1
185,2012,COLUMBIA,0,262,2044,2056,4100,262,12.82,12.74
186,2013,COLUMBIA,10,295,2051,2049,4100,305,14.87,14.89
187,2014,COLUMBIA,0,127,2037,2043,4080,127,6.23,6.22
188,2015,COLUMBIA,0,83,2038,2052,4090,83,4.07,4.04
189,2016,COLUMBIA,0,211,2023,2027,4050,211,10.43,10.41
212,2012,COWLITZ,0,8367,50858,52192,103050,8367,16.45,16.03
213,2013,COWLITZ,538,8876,50958,52342,103300,9414,18.47,17.99
214,2014,COWLITZ,528,7914,51139,52561,103700,8442,16.51,16.06
215,2015,COWLITZ,459,7457,51476,52804,104280,7916,15.38,14.99
216,2016,COWLITZ,437,7616,51803,53047,104850,8053,15.55,15.18
240,2012,DOUGLAS,0,1750,19430,19470,38900,1750,9.01,8.99
241,2013,DOUGLAS,125,1710,19621,19659,39280,1835,9.35,9.33
242,2014,DOUGLAS,87,1597,19870,19830,39700,1684,8.48,8.49
