RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
413319,7/1/2014 - 7/31/2014," $118,530 "," $29,633 "
414225,7/1/2014 - 7/31/2014," $129,982 "," $32,496 "
413347,7/1/2014 - 7/31/2014," $60,362 "," $15,090 "
413530,7/1/2014 - 7/31/2014," $6,013 "," $1,503 "
414876,7/1/2014 - 7/31/2014," $356,786 "," $89,197 "
413732,7/1/2014 - 7/31/2014," $233,689 "," $58,422 "
413819,7/1/2014 - 7/31/2014," $69,842 "," $17,461 "
414256,7/1/2014 - 7/31/2014," $241,071 "," $60,268 "
415470,7/1/2014 - 7/31/2014," $191,813 "," $47,953 "
413414,7/1/2014 - 7/31/2014," $45,578 "," $11,395 "
413700,7/1/2014 - 7/31/2014," $11,810 "," $2,952 "
413596,7/1/2014 - 7/31/2014," $73,988 "," $18,497 "
414250,7/1/2014 - 7/31/2014," $8,390 "," $2,097 "
414280,7/1/2014 - 7/31/2014," $93,942 "," $23,485 "
413481,7/1/2014 - 7/31/2014," $88,822 "," $22,205 "
413366,7/1/2014 - 7/31/2014," $6,759 "," $1,690 "
353260,7/1/2014 - 7/31/2014," $12,757 "," $3,189 "
415083,7/1/2014 - 7/31/2014," $96,626 "," $24,156 "
RETAILERS PERIOD TOTAL,7/1/2014 - 7/31/2014," $1,846,760 "," $461,690 "
414664,8/1/2014 - 8/31/2014," $165,348 "," $41,337 "
413739,8/1/2014 - 8/31/2014," $37,851 "," $9,463 "
413319,8/1/2014 - 8/31/2014," $425,570 "," $106,392 "
414225,8/1/2014 - 8/31/2014," $220,661 "," $55,165 "
415130,8/1/2014 - 8/31/2014," $38,139 "," $9,535 "
413347,8/1/2014 - 8/31/2014," $287,627 "," $71,907 "
413530,8/1/2014 - 8/31/2014," $18,288 "," $4,572 "
414876,8/1/2014 - 8/31/2014," $443,389 "," $110,847 "
414723,8/1/2014 - 8/31/2014," $242,853 "," $60,713 "
413732,8/1/2014 - 8/31/2014," $718,062 "," $179,515 "
414889,8/1/2014 - 8/31/2014," $57,054 "," $14,263 "
413819,8/1/2014 - 8/31/2014," $45,931 "," $11,483 "
415094,8/1/2014 - 8/31/2014," $15,122 "," $3,781 "
414256,8/1/2014 - 8/31/2014," $294,272 "," $73,568 "
413886,8/1/2014 - 8/31/2014," $26,736 "," $6,684 "
415470,8/1/2014 - 8/31/2014," $256,695 "," $64,174 "
415229,8/1/2014 - 8/31/2014," $35,100 "," $8,775 "
413414,8/1/2014 - 8/31/2014," $45,319 "," $11,330 "
413700,8/1/2014 - 8/31/2014," $27,953 "," $6,988 "
412066,8/1/2014 - 8/31/2014," $4,335 "," $1,084 "
413596,8/1/2014 - 8/31/2014," $78,106 "," $19,526 "
414250,8/1/2014 - 8/31/2014," $32,012 "," $8,003 "
414755,8/1/2014 - 8/31/2014," $12,272 "," $3,068 "
414280,8/1/2014 - 8/31/2014," $124,489 "," $31,122 "
413481,8/1/2014 - 8/31/2014," $158,257 "," $39,564 "
353260,8/1/2014 - 8/31/2014," $36,751 "," $9,188 "
413683,8/1/2014 - 8/31/2014," $446,677 "," $111,669 "
410798,8/1/2014 - 8/31/2014," $49,448 "," $12,362 "
415083,8/1/2014 - 8/31/2014," $87,618 "," $21,905 "
413358,8/1/2014 - 8/31/2014," $102,809 "," $25,702 "
415662,8/1/2014 - 8/31/2014," $20,581 "," $5,145 "
RETAILERS PERIOD TOTAL,8/1/2014 - 8/31/2014," $4,555,325 "," $1,138,831 "
414664,9/1/2014 - 9/30/2014," $190,649 "," $47,662 "
412495,9/1/2014 - 9/30/2014," $6,272 "," $1,568 "
413739,9/1/2014 - 9/30/2014," $251,331 "," $62,833 "
415037,9/1/2014 - 9/30/2014," $13,443 "," $3,361 "
