Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,
#HASHTAG                                     ,414884,6033581390010001,3540 STONE WAY N              ,                         ,SEATTLE                 ,WA,KING,981038924,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180405,3608184000,
112TH STREET CANNABIS                        ,423413,6033491670010006,5809 112TH ST E BLDG B        ,                         ,PUYALLUP                ,WA,PIERCE,983734323,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171127,2069924008,
2020 SOLUTIONS                               ,415470,6029975740010001,2018 IRON ST STE A            ,                         ,BELLINGHAM              ,WA,WHATCOM,982264212,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180315,3603938697,
2020 SOLUTIONS                               ,420908,6035502700010002,4770 PACIFIC HWY STE A        ,                         ,BELLINGHAM              ,WA,WHATCOM,982260000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180216,2067908124,
2020 SOLUTIONS EDMONDS                       ,364799,6035723460010003,7207 212TH ST SW              ,                         ,EDMONDS                 ,WA,SNOHOMISH,980207735,MARIJUANA RETAILER                 ,PENDING (ISSUED),20180702,3609154944,
2020 SOLUTIONS EPHRATA                       ,422239,6035723460010001,1615 BASIN ST SW              ,                         ,EPHRATA                 ,WA,GRANT,988232134,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171219,3609154944,
2020 SOLUTIONS ON THE GUIDE                  ,413314,6034152650010001,5655 GUIDE MERIDIAN STE A     ,                         ,BELLINGHAM              ,WA,WHATCOM,982269722,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180530,3607342020,
2020 SOLUTIONS SOAP LAKE                     ,422363,6035723460010002,261 STATE HWY 28 WEST         ,                         ,SOAP LAKE               ,WA,GRANT,988510000,MARIJUANA RETAILER                 ,PENDING (ISSUED),20180705,3609154944,
2020 SOLUTIONS SPRAGUE                       ,422701,6036006740010001,209 E 4TH ST SUITE B          ,                         ,SPRAGUE                 ,WA,LINCOLN,990320000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180329,2534051918,
20AFTER4                                     ,422632,6033492700010003,2211 46TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986325013,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170620,2068180966,
