License,UBI,Tradename,Privilege,Status,Med Privilege Code,Termination Code,Street Adress,Suite Rm,City,State,County,Zip Code,Date Created,Day Phone,Email
415470,6.02998E+15,2020 SOLUTIONS                               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2018 IRON ST STE A            ,                         ,BELLINGHAM              ,WA,WHATCOM,982264212,20151012,3603938697,TLOZANO36277@YAHOO.COM
413314,6.03415E+15,2020 SOLUTIONS ON THE GUIDE                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5655 GUIDE MERIDIAN STE A     ,                         ,BELLINGHAM              ,WA,WHATCOM,982269722,20151010,3607342020,ACCOUNTING@RETAILBYCHAMPION.COM
84154,6.0336E+15,25 TREES                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,3213 S 38TH STE C             ,                         ,TACOMA                  ,WA,PIERCE,984041094,20180116,2533768562,25treesllc@gmail.com
422099,6.03598E+15,365 RECREATIONAL CANNABIS                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,36711 U.S. HIGHWAY 12         ,                         ,DAYTON                  ,WA,COLUMBIA,983288622,20170926,4259194183,seantherider@hotmail.com
423784,6.0343E+15,365 RECREATIONAL CANNABIS                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,17517 15TH AVE NE #B          ,                         ,SHORELINE               ,WA,KING,981553801,20160926,4259194183,seantherider@hotmail.com
413586,6.03352E+15,4:20 FRIENDLY                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1515 LEWIS ST                 ,                         ,SPOKANE                 ,WA,SPOKANE,992249785,20151113,5094990999,A420STORE@GMAIL.COM
424848,6.03534E+15,420 CAPITOL                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5980 CAPITOL BLVD SE          ,                         ,TUMWATER                ,WA,THURSTON,985015274,20170502,3604026368,Champagneproducts@gmail.com
415083,6.03359E+15,420 CARPENTER                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,422 CARPENTER RD STE 105      ,                         ,LACEY                   ,WA,THURSTON,985037906,20151009,3604026368,CHAMPAGNE232323@YAHOO.COM
426678,6.03579E+15,420 ELMA ON MAIN                             ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,306 W MAIN ST                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985410000,20180423,3605616972,RTRANMER@HOTMAIL.COM
415526,6.03359E+15,420 HOLIDAY                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2028 10TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986324007,20151014,3607033103,DHALAIANDY@GMAIL.COM
414733,6.03359E+15,420 WEST                                     ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,410 RONLEE LN NW A1           ,                         ,OLYMPIA                 ,WA,THURSTON,985029266,20151009,3604026368,CHAMPAGNEPRODUCTS@GMAIL.COM
421759,6.04183E+15,"420ME, LLC                                   ",MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,430 CARPENTER RD SE           ,                         ,LACEY                   ,WA,THURSTON,985037930,20180111,3604026368,CHAMPAGNEPRODUCTS@GMAIL.COM
