,Year,County,NIB_ASSAULT,NIB_VIOLNCO,NIB_KIDNAP,NIB_PROPTOT,NIB_MURDER,NIB_MNSLGHTR,JRN_ASSAULT,JRN_VIOLNCO,JRN_KIDNAP,JRN_MURDER,JRN_MNSLGHTR,Total Population,Total Crime,Crime %
22,2012,ADAMS,252,71,3,1417,0,0,0,0,0,0,0,19050,1743,9.15
23,2013,ADAMS,281,58,6,1472,3,0,30,0,0,0,0,19200,1850,9.64
24,2014,ADAMS,314,96,3,1402,1,0,34,0,0,0,0,19400,1850,9.54
25,2015,ADAMS,256,61,6,1128,0,0,28,1,0,0,0,19410,1480,7.62
26,2016,ADAMS,280,70,2,876,1,0,21,0,0,0,0,19510,1250,6.41
49,2012,ASOTIN,264,12,0,974,0,1,0,0,0,0,0,21700,1251,5.76
50,2013,ASOTIN,267,0,5,1082,0,0,14,0,0,0,0,21800,1368,6.28
51,2014,ASOTIN,262,0,0,958,1,0,4,0,0,0,0,21950,1225,5.58
52,2015,ASOTIN,273,0,1,1081,2,0,22,0,0,0,0,22010,1379,6.27
53,2016,ASOTIN,284,0,1,1081,1,0,9,0,0,0,0,22150,1376,6.21
76,2012,BENTON,2006,482,33,7507,1,3,0,0,0,0,0,180000,10032,5.57
77,2013,BENTON,2108,432,26,7320,7,2,200,4,0,0,0,183400,10099,5.51
78,2014,BENTON,1970,552,31,7125,8,0,221,12,2,1,1,186500,9923,5.32
79,2015,BENTON,1995,559,49,6872,3,0,211,19,4,0,0,188590,9712,5.15
80,2016,BENTON,1850,531,34,7162,3,1,183,12,0,0,0,190500,9776,5.13
103,2012,CHELAN,269,71,3,872,1,0,0,0,0,0,0,73200,1216,1.66
104,2013,CHELAN,625,217,1,2408,1,0,42,1,1,0,0,73600,3296,4.48
105,2014,CHELAN,557,188,5,2014,0,0,35,0,0,0,0,74300,2799,3.77
106,2015,CHELAN,638,205,1,2289,0,0,42,0,0,0,0,75030,3175,4.23
107,2016,CHELAN,645,200,19,2338,0,1,60,0,0,0,1,75910,3264,4.3
130,2012,CLALLAM,915,204,23,3552,5,1,0,0,0,0,0,72000,4700,6.53
131,2013,CLALLAM,870,278,22,3431,1,0,55,3,0,0,0,72350,4660,6.44
132,2014,CLALLAM,880,241,13,3102,3,0,44,0,0,0,0,72500,4283,5.91
133,2015,CLALLAM,886,246,15,3392,0,0,43,0,0,0,0,72650,4582,6.31
134,2016,CLALLAM,881,217,21,2820,3,0,54,3,0,0,0,73410,3999,5.45
157,2012,CLARK,4200,605,38,15708,7,0,0,0,0,0,0,431250,20558,4.77
158,2013,CLARK,3762,567,24,13902,3,1,216,3,0,0,0,435500,18478,4.24
159,2013,GARFIELD,54,11,0,72,0,0,1,0,0,0,0,2250,138,6.13
160,2014,CLARK,3768,527,40,12745,7,1,216,1,0,0,0,442800,17305,3.91
161,2015,CLARK,3662,550,91,15074,6,0,244,3,1,1,0,451820,19632,4.35
162,2016,CLARK,3594,608,102,14697,7,1,194,0,5,1,0,461010,19209,4.17
185,2012,COLUMBIA,33,0,1,221,1,0,0,0,0,0,0,4100,256,6.24
186,2013,COLUMBIA,39,5,0,249,0,0,4,0,0,0,0,4100,297,7.24
187,2014,COLUMBIA,0,0,0,127,0,0,0,0,0,0,0,4080,127,3.11
188,2015,COLUMBIA,2,0,0,80,0,0,0,0,0,0,0,4090,82,2.0
189,2016,COLUMBIA,16,4,0,183,0,0,0,0,0,0,0,4050,203,5.01
212,2012,COWLITZ,1512,258,13,5611,4,0,0,0,0,0,0,103050,7398,7.18
213,2013,COWLITZ,1507,282,15,6059,1,0,173,2,0,1,0,103300,8040,7.78
214,2014,COWLITZ,1334,264,11,5350,0,0,156,2,0,0,0,103700,7117,6.86
215,2015,COWLITZ,1329,315,21,4841,2,0,118,0,0,0,0,104280,6626,6.35
216,2016,COWLITZ,1299,252,16,5005,2,0,115,0,2,0,0,104850,6691,6.38
240,2012,DOUGLAS,231,80,0,1147,1,0,0,0,0,0,0,38900,1459,3.75
241,2013,DOUGLAS,246,83,1,1205,0,0,20,0,0,0,0,39280,1555,3.96
242,2014,DOUGLAS,221,100,0,1133,0,1,23,0,0,0,0,39700,1478,3.72
243,2015,DOUGLAS,282,102,3,1194,1,0,20,0,0,0,0,39990,1602,4.01
244,2016,DOUGLAS,243,105,3,1191,1,0,19,0,0,1,0,40720,1563,3.84
261,2012,GARFIELD,21,12,0,76,0,0,0,0,0,0,0,2250,109,4.84
268,2012,FERRY,47,3,0,58,1,0,0,0,0,0,0,7650,109,1.42
269,2013,FERRY,43,8,0,68,0,0,0,0,0,0,0,7650,119,1.56
270,2014,FERRY,68,9,0,51,0,0,2,0,0,0,0,7660,130,1.7
271,2015,FERRY,51,6,0,44,0,0,0,0,0,0,0,7710,101,1.31
272,2016,FERRY,11,0,0,10,0,0,0,0,0,0,0,7700,21,0.27
295,2012,FRANKLIN,892,250,30,3245,1,0,0,0,0,0,0,82500,4418,5.36
296,2013,FRANKLIN,941,238,34,3131,2,1,84,6,4,0,0,84800,4441,5.24
297,2014,FRANKLIN,918,221,29,2735,5,0,69,4,0,0,0,86600,3981,4.6
298,2015,FRANKLIN,909,246,27,2819,5,0,61,4,3,2,0,87150,4076,4.68
299,2016,FRANKLIN,853,222,6,3118,2,0,83,3,1,0,0,88670,4288,4.84
321,2014,GARFIELD,43,2,0,58,0,0,1,0,0,0,0,2240,104,4.64
322,2015,GARFIELD,50,18,0,72,0,0,0,0,0,0,0,2260,140,6.19
323,2016,GARFIELD,33,11,1,88,0,0,0,0,0,0,0,2200,133,6.05
346,2012,GRANT,1174,231,22,5288,5,0,0,0,0,0,0,91000,6720,7.38
347,2013,GRANT,1151,211,21,5615,2,0,69,0,4,2,0,91800,7075,7.71
348,2014,GRANT,1247,201,37,5130,3,0,78,1,1,1,0,92900,6699,7.21
349,2015,GRANT,1149,224,26,5271,4,0,86,1,0,0,0,93930,6761,7.2
350,2016,GRANT,1202,229,31,5062,3,1,85,1,0,0,0,94610,6614,6.99
373,2012,GRAYS HARBOR,535,168,6,2164,2,0,0,0,0,0,0,73150,2875,3.93
374,2013,GRAYS HARBOR,739,262,6,3046,1,0,44,0,0,0,0,73200,4098,5.6
375,2014,GRAYS HARBOR,895,255,9,2692,1,0,30,0,0,0,0,73300,3882,5.3
376,2015,GRAYS HARBOR,1020,345,8,2800,1,0,35,1,0,0,0,73110,4210,5.76
377,2016,GRAYS HARBOR,917,338,6,2483,3,0,34,1,0,0,0,72820,3782,5.19
400,2012,ISLAND,544,105,5,2332,1,0,0,0,0,0,0,79350,2987,3.76
401,2013,ISLAND,474,131,6,2084,0,0,29,1,0,0,0,79700,2725,3.42
402,2014,ISLAND,429,105,8,1778,1,0,35,3,0,0,0,80000,2359,2.95
403,2015,ISLAND,371,86,6,1342,1,0,16,1,0,1,0,80600,1824,2.26
404,2016,ISLAND,408,118,4,1378,1,0,24,0,2,0,0,82910,1935,2.33
427,2012,JEFFERSON,319,64,2,1101,0,0,0,0,0,0,0,30175,1486,4.92
428,2013,JEFFERSON,275,89,6,971,0,1,10,1,0,0,0,30275,1353,4.47
429,2014,JEFFERSON,300,63,13,1112,0,0,13,0,0,0,0,30700,1501,4.89
430,2015,JEFFERSON,249,67,4,833,1,0,14,0,0,0,0,30880,1168,3.78
431,2016,JEFFERSON,249,48,3,774,1,0,8,1,0,0,0,31090,1084,3.49
455,2012,KING,13567,1723,130,72061,34,1,0,0,0,0,0,1957000,87516,4.47
456,2013,KING,14514,2072,134,86528,34,2,496,10,1,1,0,1981900,103792,5.24
457,2014,KING,16991,2665,195,105971,44,2,526,14,1,1,0,2017250,126410,6.27
458,2015,KING,18380,3086,172,107549,45,0,495,11,4,0,0,2052800,129742,6.32
459,2016,KING,18357,3026,168,112429,49,0,438,10,4,8,0,2105100,134489,6.39
481,2012,KITSAP,2683,0,16,11441,5,0,0,0,0,0,0,254500,14145,5.56
482,2013,KITSAP,2518,530,12,10517,2,0,120,0,0,0,0,254000,13699,5.39
483,2014,KITSAP,2520,608,17,10260,7,0,115,1,1,0,0,255900,13529,5.29
484,2015,KITSAP,2655,662,18,9813,7,1,123,3,0,0,0,258200,13282,5.14
485,2016,KITSAP,2788,656,20,9744,1,0,96,0,0,0,0,262590,13305,5.07
509,2012,KITTITAS,381,108,1,2228,0,0,0,0,0,0,0,41500,2718,6.55
510,2013,KITTITAS,384,110,2,2134,1,0,20,1,0,0,0,41900,2652,6.33
511,2014,KITTITAS,360,131,0,1839,1,0,21,0,0,0,0,42100,2352,5.59
512,2015,KITTITAS,343,117,0,1658,0,0,25,2,0,0,0,42670,2145,5.03
513,2016,KITTITAS,306,131,1,1540,0,1,16,0,0,0,0,43710,1995,4.56
536,2012,KLICKITAT,126,50,0,486,0,0,0,0,0,0,0,20600,662,3.21
537,2013,KLICKITAT,143,57,0,466,1,0,12,0,0,0,0,20700,679,3.28
538,2014,KLICKITAT,136,26,0,411,0,0,7,1,0,0,0,20850,581,2.79
539,2015,KLICKITAT,158,30,1,548,0,0,7,0,0,0,0,21000,744,3.54
540,2016,KLICKITAT,159,43,0,337,2,0,6,0,0,0,0,21270,547,2.57
563,2012,LEWIS,851,226,4,2980,3,0,0,0,0,0,0,76300,4064,5.33
564,2013,LEWIS,814,223,17,2533,1,0,95,1,0,0,0,76200,3684,4.83
565,2014,LEWIS,777,213,19,2836,1,0,77,0,0,0,0,76300,3923,5.14
566,2015,LEWIS,729,223,6,2881,1,0,80,3,1,0,0,76660,3924,5.12
567,2016,LEWIS,721,209,8,3222,1,0,84,0,1,0,0,76890,4246,5.52
590,2012,LINCOLN,86,4,0,284,0,0,0,0,0,0,0,10675,374,3.5
591,2013,LINCOLN,61,2,1,218,0,0,8,0,0,0,0,10675,290,2.72
592,2014,LINCOLN,74,0,1,220,0,0,7,0,0,0,0,10700,302,2.82
593,2015,LINCOLN,82,3,1,221,0,0,4,0,1,0,0,10720,312,2.91
594,2016,LINCOLN,81,3,0,231,0,0,5,0,0,0,0,10640,320,3.01
617,2012,MASON,440,129,11,3574,6,0,0,0,0,0,0,61450,4160,6.77
618,2013,MASON,367,97,12,2993,3,0,20,0,1,0,0,61800,3493,5.65
619,2014,MASON,420,109,13,2871,2,3,15,0,0,0,1,62000,3434,5.54
620,2015,MASON,449,105,10,2562,3,1,17,0,0,0,0,62200,3147,5.06
621,2016,MASON,358,109,16,2248,5,1,15,0,0,0,0,62320,2752,4.42
644,2012,OKANOGAN,438,13,0,1150,0,0,0,0,0,0,0,41425,1601,3.86
645,2013,OKANOGAN,345,15,1,1291,5,0,6,0,0,0,0,41500,1663,4.01
646,2014,OKANOGAN,292,15,2,1230,1,0,6,0,0,0,0,41700,1546,3.71
647,2015,OKANOGAN,284,10,0,1053,1,0,8,0,0,0,0,41860,1356,3.24
648,2016,OKANOGAN,308,8,2,831,0,0,6,0,0,0,0,41730,1155,2.77
671,2012,PACIFIC,156,18,0,557,0,0,0,0,0,0,0,20970,731,3.49
672,2013,PACIFIC,217,20,0,550,0,0,6,0,0,0,0,21000,793,3.78
