,Year,County,Total Population,Total Crime,Classification,Orig_DF
0,2012,adams,19050,1743,Micropolitan,Violence + Murder
1,2013,adams,19200,1850,Micropolitan,Violence + Murder
2,2014,adams,19400,1850,Micropolitan,Violence + Murder
3,2015,adams,19410,1480,Micropolitan,Violence + Murder
4,2016,adams,19510,1250,Micropolitan,Violence + Murder
5,2012,asotin,21700,1251,Metropolitan,Violence + Murder
6,2013,asotin,21800,1368,Metropolitan,Violence + Murder
7,2014,asotin,21950,1225,Metropolitan,Violence + Murder
8,2015,asotin,22010,1379,Metropolitan,Violence + Murder
9,2016,asotin,22150,1376,Metropolitan,Violence + Murder
10,2012,benton,180000,10032,Metropolitan,Violence + Murder
11,2013,benton,183400,10099,Metropolitan,Violence + Murder
12,2014,benton,186500,9923,Metropolitan,Violence + Murder
13,2015,benton,188590,9712,Metropolitan,Violence + Murder
14,2016,benton,190500,9776,Metropolitan,Violence + Murder
15,2012,chelan,73200,1216,Metropolitan,Violence + Murder
16,2013,chelan,73600,3296,Metropolitan,Violence + Murder
17,2014,chelan,74300,2799,Metropolitan,Violence + Murder
18,2015,chelan,75030,3175,Metropolitan,Violence + Murder
19,2016,chelan,75910,3264,Metropolitan,Violence + Murder
20,2012,clallam,72000,4700,Micropolitan,Violence + Murder
21,2013,clallam,72350,4660,Micropolitan,Violence + Murder
22,2014,clallam,72500,4283,Micropolitan,Violence + Murder
23,2015,clallam,72650,4582,Micropolitan,Violence + Murder
24,2016,clallam,73410,3999,Micropolitan,Violence + Murder
25,2012,clark,431250,20558,Metropolitan,Violence + Murder
26,2013,clark,435500,18478,Metropolitan,Violence + Murder
27,2013,garfield,2250,138,Noncore,Violence + Murder
28,2014,clark,442800,17305,Metropolitan,Violence + Murder
29,2015,clark,451820,19632,Metropolitan,Violence + Murder
30,2016,clark,461010,19209,Metropolitan,Violence + Murder
31,2012,columbia,4100,256,Metropolitan,Violence + Murder
32,2013,columbia,4100,297,Metropolitan,Violence + Murder
33,2014,columbia,4080,127,Metropolitan,Violence + Murder
34,2015,columbia,4090,82,Metropolitan,Violence + Murder
35,2016,columbia,4050,203,Metropolitan,Violence + Murder
36,2012,cowlitz,103050,7398,Metropolitan,Violence + Murder
37,2013,cowlitz,103300,8040,Metropolitan,Violence + Murder
38,2014,cowlitz,103700,7117,Metropolitan,Violence + Murder
39,2015,cowlitz,104280,6626,Metropolitan,Violence + Murder
40,2016,cowlitz,104850,6691,Metropolitan,Violence + Murder
41,2012,douglas,38900,1459,Metropolitan,Violence + Murder
42,2013,douglas,39280,1555,Metropolitan,Violence + Murder
43,2014,douglas,39700,1478,Metropolitan,Violence + Murder
44,2015,douglas,39990,1602,Metropolitan,Violence + Murder
45,2016,douglas,40720,1563,Metropolitan,Violence + Murder
46,2012,garfield,2250,109,Noncore,Violence + Murder
47,2012,ferry,7650,109,Noncore,Violence + Murder
48,2013,ferry,7650,119,Noncore,Violence + Murder
49,2014,ferry,7660,130,Noncore,Violence + Murder
50,2015,ferry,7710,101,Noncore,Violence + Murder
51,2016,ferry,7700,21,Noncore,Violence + Murder
52,2012,franklin,82500,4418,Metropolitan,Violence + Murder
53,2013,franklin,84800,4441,Metropolitan,Violence + Murder
54,2014,franklin,86600,3981,Metropolitan,Violence + Murder
55,2015,franklin,87150,4076,Metropolitan,Violence + Murder
56,2016,franklin,88670,4288,Metropolitan,Violence + Murder
57,2014,garfield,2240,104,Noncore,Violence + Murder
58,2015,garfield,2260,140,Noncore,Violence + Murder
59,2016,garfield,2200,133,Noncore,Violence + Murder
60,2012,grant,91000,6720,Micropolitan,Violence + Murder
61,2013,grant,91800,7075,Micropolitan,Violence + Murder
62,2014,grant,92900,6699,Micropolitan,Violence + Murder
63,2015,grant,93930,6761,Micropolitan,Violence + Murder
64,2016,grant,94610,6614,Micropolitan,Violence + Murder
65,2012,grays harbor,73150,2875,Micropolitan,Violence + Murder
66,2013,grays harbor,73200,4098,Micropolitan,Violence + Murder
67,2014,grays harbor,73300,3882,Micropolitan,Violence + Murder
68,2015,grays harbor,73110,4210,Micropolitan,Violence + Murder
69,2016,grays harbor,72820,3782,Micropolitan,Violence + Murder
70,2012,island,79350,2987,Micropolitan,Violence + Murder
71,2013,island,79700,2725,Micropolitan,Violence + Murder
72,2014,island,80000,2359,Micropolitan,Violence + Murder
73,2015,island,80600,1824,Micropolitan,Violence + Murder
74,2016,island,82910,1935,Micropolitan,Violence + Murder
75,2012,jefferson,30175,1486,Noncore,Violence + Murder
76,2013,jefferson,30275,1353,Noncore,Violence + Murder
