,Year,County,JRN_TOTAL,NIB_TOTAL,Total Population,Total Crime,Crime %
22,2012,ADAMS,0,1915,19050,1915,10.05
23,2013,ADAMS,159,1971,19200,2130,11.09
24,2014,ADAMS,162,1960,19400,2122,10.94
25,2015,ADAMS,163,1607,19410,1770,9.12
26,2016,ADAMS,127,1398,19510,1525,7.82
49,2012,ASOTIN,0,1437,21700,1437,6.62
50,2013,ASOTIN,124,1491,21800,1615,7.41
51,2014,ASOTIN,29,1309,21950,1338,6.1
52,2015,ASOTIN,151,1442,22010,1593,7.24
53,2016,ASOTIN,72,1439,22150,1511,6.82
76,2012,BENTON,0,11993,180000,11993,6.66
77,2013,BENTON,1136,11160,183400,12296,6.7
78,2014,BENTON,1169,10964,186500,12133,6.51
79,2015,BENTON,1068,10738,188590,11806,6.26
80,2016,BENTON,1016,10870,190500,11886,6.24
103,2012,CHELAN,0,1349,73200,1349,1.84
104,2013,CHELAN,260,3638,73600,3898,5.3
105,2014,CHELAN,235,3233,74300,3468,4.67
106,2015,CHELAN,276,3616,75030,3892,5.19
107,2016,CHELAN,235,3756,75910,3991,5.26
130,2012,CLALLAM,0,5237,72000,5237,7.27
131,2013,CLALLAM,249,5081,72350,5330,7.37
132,2014,CLALLAM,190,4673,72500,4863,6.71
133,2015,CLALLAM,143,4923,72650,5066,6.97
134,2016,CLALLAM,165,4359,73410,4524,6.16
157,2012,CLARK,0,22287,431250,22287,5.17
158,2013,CLARK,908,19582,435500,20490,4.7
159,2013,GARFIELD,9,164,2250,173,7.69
160,2014,CLARK,772,18421,442800,19193,4.33
161,2015,CLARK,883,20878,451820,21761,4.82
162,2016,CLARK,692,20517,461010,21209,4.6
185,2012,COLUMBIA,0,262,4100,262,6.39
186,2013,COLUMBIA,10,295,4100,305,7.44
187,2014,COLUMBIA,0,127,4080,127,3.11
188,2015,COLUMBIA,0,83,4090,83,2.03
189,2016,COLUMBIA,0,211,4050,211,5.21
212,2012,COWLITZ,0,8367,103050,8367,8.12
213,2013,COWLITZ,538,8876,103300,9414,9.11
214,2014,COWLITZ,528,7914,103700,8442,8.14
215,2015,COWLITZ,459,7457,104280,7916,7.59
216,2016,COWLITZ,437,7616,104850,8053,7.68
240,2012,DOUGLAS,0,1750,38900,1750,4.5
241,2013,DOUGLAS,125,1710,39280,1835,4.67
