Month,2015,2016,2017,2018
July,"$3,237,212.69","$47,599,853.95","$98,527,349.87","$126,886,202.43"
August,"$7,053,729.98","$53,497,874.05","$110,196,458.47","$133,585,566.87"
September,"$8,627,392.04","$59,554,904.30","$114,339,124.48","$131,546,944.47"
October,"$13,051,504.96","$61,257,765.37","$115,235,047.13","$136,163,972.46"
November,"$16,082,629.52","$57,444,221.59","$111,839,681.45",N/A
December,"$17,085,168.37","$60,504,092.33","$112,211,928.46",N/A
January,"$18,860,804.26","$63,316,387.36","$113,697,713.52",N/A
February,"$22,781,526.67","$65,439,044.64","$106,293,415.20",N/A
March,"$29,892,164.70","$73,803,502.30","$124,809,321.61",N/A
April,"$35,209,329.71","$76,863,058.55","$119,328,942.31",N/A
May,"$41,623,192.20","$80,606,765.25","$119,793,592.06",N/A
June,"$46,018,377.76","$86,536,471.24","$125,589,611.69",N/A
