,County,Pop 2015,Pop 2016,Pop 2017,Sales 2015,Sales 2016,Sales 2017,Ratio 2015,Ratio 2016,Ratio 2017
0,ASOTIN,22010.0,22150.0,22290.0,78390.0,2390504.0,7901349.03,3.5615629259427535,107.92343115124153,354.47954374158815
1,BENTON,188590.0,190500.0,193500.0,2840372.0,4970194.0,14867438.1,15.061095498170635,26.090257217847768,76.8343054263566
2,CHELAN,75030.0,75910.0,76830.0,1392079.0,4801762.0,7449552.84,18.5536318805811,63.255987353444866,96.9615103475205
3,CLALLAM,72650.0,73410.0,74240.0,1400405.0,5217200.0,10671708.82,19.27604955264969,71.0693366026427,143.74607785560346
4,CLARK,451820.0,461010.0,471000.0,24732262.0,46119692.0,56832141.35,54.73919259882254,100.0405457582265,120.66272048832272
5,COWLITZ,104280.0,104850.0,105900.0,4583662.0,9996138.0,14851660.48,43.955331799002685,95.33751072961374,140.24230859301227
6,DOUGLAS,39990.0,40720.0,41420.0,1513797.0,1697135.0,2522689.32,37.85438859714929,41.67816797642436,60.905101883148234
7,GRANT,93930.0,94610.0,95630.0,1325700.0,3715477.0,7815680.27,14.11370169274992,39.27150406933728,81.7283307539475
8,GRAYS HARBOR,73110.0,72820.0,72970.0,980429.0,6323625.0,11364874.91,13.410326904664204,86.83912386706949,155.74722365355626
9,ISLAND,80600.0,82910.0,82790.0,1185035.0,5730021.0,8662918.55,14.702667493796525,69.11133759498252,104.63725751902405
10,JEFFERSON,30880.0,31090.0,31360.0,1530906.0,3166035.0,5042386.82,49.575971502590676,101.83451270504986,160.79039604591838
11,KING,2052800.0,2105100.0,2153700.0,48166436.0,151410618.0,248889511.84,23.463774356975836,71.92561778537836,115.56368660444816
12,KITSAP,258200.0,262590.0,264300.0,4936097.0,17676959.0,29272601.65,19.117339271882262,67.31771583076278,110.75520866439652
13,KITTITAS,42670.0,43710.0,44730.0,1374420.0,3916745.0,6225580.4,32.21045230841341,89.60752688172043,139.1813190252627
14,KLICKITAT,21000.0,21270.0,21660.0,1351236.0,2201608.0,2979215.02,64.34457142857143,103.50766337564644,137.54455309325945
15,LEWIS,76660.0,76890.0,77440.0,208480.0,2046272.0,4825869.41,2.71954082963736,26.612979581219925,62.317528538223144
16,MASON,62200.0,62320.0,63190.0,365731.0,3845385.0,6270823.41,5.8799196141479095,61.70386713735559,99.23759154929577
17,OKANOGAN,41860.0,41730.0,42110.0,617733.0,1802025.0,2632377.62,14.757118967988534,43.18296189791517,62.51193588221325
18,PACIFIC,21210.0,21180.0,21250.0,348064.0,843072.0,2573710.88,16.41037246581801,39.80509915014164,121.11580611764705
19,PIERCE,830120.0,844490.0,859400.0,16424909.0,49237907.0,99075946.54,19.786186334505853,58.30490236710914,115.28502040958809
20,SAN JUAN,16180.0,16320.0,16510.0,251106.0,657733.0,897162.65,15.519530284301608,40.30226715686275,54.34056026650515
21,SKAGIT,120620.0,122270.0,124100.0,4403722.0,10921346.0,17540597.56,36.509053225004145,89.32155066655761,141.3424460918614
22,SKAMANIA,11430.0,11500.0,11690.0,351594.0,989665.0,991287.87,30.76062992125984,86.05782608695652,84.79793584260051
23,SNOHOMISH,757600.0,772860.0,789400.0,17451823.0,49863558.0,89212244.02,23.035669218585006,64.51822839841627,113.01272361287053
24,SPOKANE,488310.0,492530.0,499800.0,22100477.0,57661699.0,90577805.24,45.259112039483114,117.07246056077803,181.22810172068827
25,STEVENS,44030.0,44100.0,44510.0,996258.0,1979308.0,2639588.89,22.62679990915285,44.88226757369615,59.30327769040665
26,THURSTON,267410.0,272690.0,276900.0,5887902.0,19392493.0,40107299.11,22.01825660970046,71.11552678866111,144.84398378475984
27,WHATCOM,209790.0,212540.0,216300.0,8005488.0,17327386.0,28427418.51,38.15953095953096,81.52529406229415,131.42588307905686
28,WHITMAN,47250.0,47940.0,48640.0,2017669.0,5284628.0,7937885.38,42.70198941798942,110.23420942845223,163.19665666118422
29,YAKIMA,249970.0,250900.0,253000.0,2808902.0,7113948.0,13594125.64,11.236956434772173,28.353718612993223,53.73172189723321
