,Year,County,SRS_TOTAL,NIB_TOTAL,Total Crime,Total Population,Crime %
20,2010,ADAMS,929,0,929,18300,5.08
21,2011,ADAMS,873,0,873,18950,4.61
22,2012,ADAMS,0,1915,1915,19050,10.05
23,2013,ADAMS,0,1971,1971,19200,10.27
24,2014,ADAMS,0,1960,1960,19400,10.1
25,2015,ADAMS,0,1607,1607,19410,8.28
26,2016,ADAMS,0,1398,1398,19510,7.17
47,2010,ASOTIN,614,0,614,21700,2.83
48,2011,ASOTIN,695,0,695,21650,3.21
49,2012,ASOTIN,0,1437,1437,21700,6.62
50,2013,ASOTIN,0,1491,1491,21800,6.84
51,2014,ASOTIN,0,1309,1309,21950,5.96
52,2015,ASOTIN,0,1442,1442,22010,6.55
53,2016,ASOTIN,0,1439,1439,22150,6.5
74,2010,BENTON,4816,0,4816,172900,2.79
75,2011,BENTON,5470,0,5470,177900,3.07
76,2012,BENTON,0,11993,11993,180000,6.66
77,2013,BENTON,0,11160,11160,183400,6.09
78,2014,BENTON,0,10964,10964,186500,5.88
79,2015,BENTON,0,10738,10738,188590,5.69
80,2016,BENTON,0,10870,10870,190500,5.71
101,2010,CHELAN,2175,0,2175,73300,2.97
102,2011,CHELAN,2109,0,2109,72700,2.9
103,2012,CHELAN,0,1349,1349,73200,1.84
104,2013,CHELAN,0,3638,3638,73600,4.94
105,2014,CHELAN,0,3233,3233,74300,4.35
106,2015,CHELAN,0,3616,3616,75030,4.82
107,2016,CHELAN,0,3756,3756,75910,4.95
128,2010,CLALLAM,2289,0,2289,70100,3.27
129,2011,CLALLAM,2403,0,2403,71600,3.36
130,2012,CLALLAM,0,5237,5237,72000,7.27
131,2013,CLALLAM,0,5081,5081,72350,7.02
132,2014,CLALLAM,0,4673,4673,72500,6.45
133,2015,CLALLAM,0,4923,4923,72650,6.78
134,2016,CLALLAM,0,4359,4359,73410,5.94
155,2010,CLARK,13203,0,13203,435600,3.03
156,2011,CLARK,12437,0,12437,428001,2.91
157,2012,CLARK,0,22287,22287,431250,5.17
158,2013,CLARK,0,19582,19582,435500,4.5
159,2013,GARFIELD,0,164,164,2250,7.29
160,2014,CLARK,0,18421,18421,442800,4.16
161,2015,CLARK,0,20878,20878,451820,4.62
162,2016,CLARK,0,20517,20517,461010,4.45
183,2010,COLUMBIA,199,0,199,4150,4.8
184,2011,COLUMBIA,186,0,186,4100,4.54
185,2012,COLUMBIA,0,262,262,4100,6.39
186,2013,COLUMBIA,0,295,295,4100,7.2
187,2014,COLUMBIA,0,127,127,4080,3.11
188,2015,COLUMBIA,0,83,83,4090,2.03
189,2016,COLUMBIA,0,211,211,4050,5.21
210,2010,COWLITZ,3956,0,3956,100000,3.96
211,2011,COWLITZ,3804,0,3804,102700,3.7
212,2012,COWLITZ,0,8367,8367,103050,8.12
213,2013,COWLITZ,0,8876,8876,103300,8.59
214,2014,COWLITZ,0,7914,7914,103700,7.63
215,2015,COWLITZ,0,7457,7457,104280,7.15
216,2016,COWLITZ,0,7616,7616,104850,7.26
238,2010,DOUGLAS,714,0,714,38500,1.85
239,2011,DOUGLAS,1001,0,1001,38650,2.59
240,2012,DOUGLAS,0,1750,1750,38900,4.5
241,2013,DOUGLAS,0,1710,1710,39280,4.35
242,2014,DOUGLAS,0,1597,1597,39700,4.02
243,2015,DOUGLAS,0,1793,1793,39990,4.48
244,2016,DOUGLAS,0,1795,1795,40720,4.41
261,2012,GARFIELD,0,145,145,2250,6.44
266,2010,FERRY,50,0,50,7850,0.64
267,2011,FERRY,42,0,42,7600,0.55
268,2012,FERRY,0,121,121,7650,1.58
269,2013,FERRY,0,128,128,7650,1.67
270,2014,FERRY,0,162,162,7660,2.11
271,2015,FERRY,0,108,108,7710,1.4
272,2016,FERRY,0,25,25,7700,0.32
293,2010,FRANKLIN,1910,0,1910,75500,2.53
294,2011,FRANKLIN,2054,0,2054,80500,2.55
295,2012,FRANKLIN,0,5219,5219,82500,6.33
296,2013,FRANKLIN,0,4879,4879,84800,5.75
297,2014,FRANKLIN,0,4509,4509,86600,5.21
298,2015,FRANKLIN,0,4672,4672,87150,5.36
299,2016,FRANKLIN,0,4933,4933,88670,5.56
319,2010,GARFIELD,58,0,58,2300,2.52
320,2011,GARFIELD,67,0,67,2250,2.98
321,2014,GARFIELD,0,124,124,2240,5.54
322,2015,GARFIELD,0,183,183,2260,8.1
323,2016,GARFIELD,0,167,167,2200,7.59
344,2010,GRANT,4601,0,4601,87700,5.25
345,2011,GRANT,4021,0,4021,90100,4.46
346,2012,GRANT,0,7418,7418,91000,8.15
347,2013,GRANT,0,7515,7515,91800,8.19
348,2014,GRANT,0,7216,7216,92900,7.77
349,2015,GRANT,0,7234,7234,93930,7.7
350,2016,GRANT,0,7155,7155,94610,7.56
371,2010,GRAYS HARBOR,2830,0,2830,71600,3.95
372,2011,GRAYS HARBOR,2534,0,2534,72900,3.48
373,2012,GRAYS HARBOR,0,3589,3589,73150,4.91
374,2013,GRAYS HARBOR,0,4728,4728,73200,6.46
375,2014,GRAYS HARBOR,0,4534,4534,73300,6.19
376,2015,GRAYS HARBOR,0,4939,4939,73110,6.76
377,2016,GRAYS HARBOR,0,4440,4440,72820,6.1
398,2010,ISLAND,1264,0,1264,81100,1.56
399,2011,ISLAND,1536,0,1536,78800,1.95
400,2012,ISLAND,0,3246,3246,79350,4.09
401,2013,ISLAND,0,2831,2831,79700,3.55
402,2014,ISLAND,0,2449,2449,80000,3.06
403,2015,ISLAND,0,1921,1921,80600,2.38
404,2016,ISLAND,0,2050,2050,82910,2.47
425,2010,JEFFERSON,776,0,776,29300,2.65
426,2011,JEFFERSON,678,0,678,30050,2.26
427,2012,JEFFERSON,0,1594,1594,30175,5.28
428,2013,JEFFERSON,0,1449,1449,30275,4.79
429,2014,JEFFERSON,0,1600,1600,30700,5.21
430,2015,JEFFERSON,0,1240,1240,30880,4.02
431,2016,JEFFERSON,0,1180,1180,31090,3.8
452,2010,KING,86107,0,86107,1933400,4.45
454,2011,KING,84892,0,84892,1942600,4.37
455,2012,KING,29263,93104,122367,1957000,6.25
456,2013,KING,18751,108742,127493,1981900,6.43
457,2014,KING,19309,131988,151297,2017250,7.5
458,2015,KING,13483,136352,149835,2052800,7.3
459,2016,KING,15270,141674,156944,2105100,7.46
479,2010,KITSAP,7513,0,7513,248300,3.03
480,2011,KITSAP,8134,0,8134,253900,3.2
481,2012,KITSAP,0,15913,15913,254500,6.25
482,2013,KITSAP,0,15049,15049,254000,5.92
483,2014,KITSAP,0,14801,14801,255900,5.78
484,2015,KITSAP,0,14379,14379,258200,5.57
485,2016,KITSAP,0,14499,14499,262590,5.52
487,2011,SKAMANIA,224,0,224,11150,2.01
507,2010,KITTITAS,1855,0,1855,40500,4.58
508,2011,KITTITAS,1632,0,1632,41300,3.95
509,2012,KITTITAS,0,3082,3082,41500,7.43
510,2013,KITTITAS,0,2847,2847,41900,6.79
511,2014,KITTITAS,0,2582,2582,42100,6.13
512,2015,KITTITAS,0,2411,2411,42670,5.65
513,2016,KITTITAS,0,2270,2270,43710,5.19
534,2010,KLICKITAT,430,0,430,20500,2.1
535,2011,KLICKITAT,274,0,274,20500,1.34
536,2012,KLICKITAT,0,720,720,20600,3.5
537,2013,KLICKITAT,0,709,709,20700,3.43
538,2014,KLICKITAT,0,605,605,20850,2.9
539,2015,KLICKITAT,0,790,790,21000,3.76
540,2016,KLICKITAT,0,592,592,21270,2.78
561,2010,LEWIS,2909,0,2909,75600,3.85
562,2011,LEWIS,2136,0,2136,76000,2.81
563,2012,LEWIS,0,4881,4881,76300,6.4
564,2013,LEWIS,0,4101,4101,76200,5.38
565,2014,LEWIS,0,4356,4356,76300,5.71
566,2015,LEWIS,0,4265,4265,76660,5.56
567,2016,LEWIS,0,4592,4592,76890,5.97
588,2010,LINCOLN,170,0,170,10500,1.62
589,2011,LINCOLN,181,0,181,10600,1.71
590,2012,LINCOLN,0,442,442,10675,4.14
591,2013,LINCOLN,0,334,334,10675,3.13
592,2014,LINCOLN,0,356,356,10700,3.33
593,2015,LINCOLN,0,361,361,10720,3.37
594,2016,LINCOLN,0,364,364,10640,3.42
615,2010,MASON,2751,0,2751,57100,4.82
616,2011,MASON,2667,0,2667,61100,4.36
617,2012,MASON,0,4692,4692,61450,7.64
618,2013,MASON,0,3925,3925,61800,6.35
619,2014,MASON,0,3866,3866,62000,6.24
620,2015,MASON,0,3575,3575,62200,5.75
621,2016,MASON,0,3192,3192,62320,5.12
642,2010,OKANOGAN,870,0,870,40900,2.13
643,2011,OKANOGAN,808,0,808,41200,1.96
644,2012,OKANOGAN,0,1782,1782,41425,4.3
645,2013,OKANOGAN,0,1802,1802,41500,4.34
646,2014,OKANOGAN,0,1667,1667,41700,4.0
647,2015,OKANOGAN,0,1478,1478,41860,3.53
648,2016,OKANOGAN,0,1285,1285,41730,3.08
669,2010,PACIFIC,685,0,685,22100,3.1
670,2011,PACIFIC,540,0,540,20900,2.58
671,2012,PACIFIC,0,814,814,20970,3.88
672,2013,PACIFIC,0,948,948,21000,4.51
673,2014,PACIFIC,0,839,839,21100,3.98
674,2015,PACIFIC,0,660,660,21210,3.11
675,2016,PACIFIC,0,612,612,21180,2.89
696,2010,PEND OREILLE,440,0,440,13100,3.36
697,2011,PEND OREILLE,428,0,428,13000,3.29
698,2012,PEND OREILLE,0,1017,1017,13100,7.76
699,2013,PEND OREILLE,0,1073,1073,13150,8.16
700,2014,PEND OREILLE,0,885,885,13210,6.7
701,2015,PEND OREILLE,0,732,732,13240,5.53
702,2016,PEND OREILLE,0,667,667,13290,5.02
723,2010,PIERCE,35446,0,35446,814600,4.35
724,2011,PIERCE,34465,0,34465,802150,4.3
725,2012,PIERCE,959,70493,71452,808200,8.84
726,2013,PIERCE,0,70552,70552,814500,8.66
727,2014,PIERCE,0,68336,68336,821300,8.32
728,2015,PIERCE,0,68571,68571,830120,8.26
729,2016,PIERCE,0,71961,71961,844490,8.52
750,2010,SAN JUAN,202,0,202,16500,1.22
751,2011,SAN JUAN,200,0,200,15900,1.26
752,2012,SAN JUAN,0,390,390,15925,2.45
753,2013,SAN JUAN,0,363,363,16000,2.27
754,2014,SAN JUAN,0,276,276,16100,1.71
755,2015,SAN JUAN,0,359,359,16180,2.22
756,2016,SAN JUAN,0,331,331,16320,2.03
777,2010,SKAGIT,6246,0,6246,119300,5.24
778,2011,SKAGIT,5450,0,5450,117400,4.64
779,2012,SKAGIT,0,10859,10859,117950,9.21
780,2013,SKAGIT,0,10543,10543,118600,8.89
781,2014,SKAGIT,0,9433,9433,119500,7.89
782,2015,SKAGIT,0,10678,10678,120620,8.85
784,2016,SKAGIT,0,10336,10336,122270,8.45
804,2010,SKAMANIA,232,0,232,10900,2.13
805,2012,SKAMANIA,0,367,367,11275,3.25
806,2013,SKAMANIA,0,306,306,11300,2.71
807,2014,SKAMANIA,0,283,283,11370,2.49
808,2015,SKAMANIA,0,258,258,11430,2.26
809,2016,SKAMANIA,0,187,187,11500,1.63
830,2010,SNOHOMISH,24123,0,24123,711100,3.39
831,2011,SNOHOMISH,21159,0,21159,717000,2.95
833,2012,SNOHOMISH,16638,3942,20580,722900,2.85
834,2013,SNOHOMISH,21503,5450,26953,730500,3.69
835,2014,SNOHOMISH,23619,6214,29833,741000,4.03
836,2015,SNOHOMISH,18029,12432,30461,757600,4.02
