Date,Sales,Excise Tax Due,Sales (Shelf Price)
6/1/2014,0,0,0
6/2/2014,0,0,0
6/3/2014,0,0,0
6/4/2014,0,0,0
6/5/2014,0,0,0
6/6/2014,0,0,0
6/7/2014,0,0,0
6/8/2014,0,0,0
6/9/2014,0,0,0
6/10/2014,0,0,0
6/11/2014,0,0,0
6/12/2014,0,0,0
6/13/2014,0,0,0
6/14/2014,0,0,0
6/15/2014,0,0,0
6/16/2014,2400,480,1920
6/17/2014,0,0,0
6/18/2014,0,0,0
6/19/2014,0,0,0
6/20/2014,0,0,0
6/21/2014,0,0,0
6/22/2014,0,0,0
6/23/2014,0,0,0
6/24/2014,0,0,0
6/25/2014,0,0,0
6/26/2014,0,0,0
6/27/2014,5475,1095,4380
6/28/2014,0,0,0
6/29/2014,0,0,0
6/30/2014,0,0,0
7/1/2014,0,0,0
7/2/2014,0,0,0
7/3/2014,8183.79,1636.76,6547.03
7/4/2014,3560.38,712.08,2848.3
7/5/2014,6723.75,1344.75,5379
7/6/2014,0,0,0
7/7/2014,0,0,0
7/8/2014,324317.37,64863.49,259453.88
7/9/2014,173198.82,34639.78,138559.04
7/10/2014,311430.96,62286.22,249144.74
7/11/2014,199456.79,39891.36,159565.43
7/12/2014,134061.53,26812.31,107249.22
7/13/2014,86574.02,17314.81,69259.21
7/14/2014,132579.39,26515.89,106063.5
7/15/2014,134871.47,26974.31,107897.16
7/16/2014,117060.51,23412.12,93648.39
7/17/2014,147164.5,29432.9,117731.6
7/18/2014,151748.6,30349.74,121398.86
7/19/2014,228950.01,45790,183160.01
7/20/2014,82603.35,16520.67,66082.68
7/21/2014,106718.95,21343.8,85375.15
7/22/2014,75744.21,15148.85,60595.36
7/23/2014,68943.3,13788.66,55154.64
7/24/2014,103291.15,20658.24,82632.91
7/25/2014,316413.19,63282.65,253130.54
7/26/2014,243210.3,48642.07,194568.23
7/27/2014,42619.75,8523.96,34095.79
7/28/2014,207688.66,41537.75,166150.91
7/29/2014,129706.82,25941.37,103765.45
7/30/2014,210066.61,42013.34,168053.27
7/31/2014,299628,59925.61,239702.39
8/1/2014,264368.325,52873.665,211494.66
8/2/2014,128349.9125,25669.9825,102679.93
8/3/2014,51950.2125,10390.0425,41560.17
8/4/2014,94617.9,18923.58,75694.32
8/5/2014,138971.3125,27794.2625,111177.05
8/6/2014,100440.35,20088.07,80352.28
8/7/2014,204631.5625,40926.3125,163705.25
8/8/2014,306844.275,61368.855,245475.42
8/9/2014,230593.125,46118.625,184474.5
8/10/2014,62378.1125,12475.6225,49902.49
8/11/2014,86304.4125,17260.8825,69043.53
8/12/2014,106932.4375,21386.4875,85545.95
8/13/2014,160726.2875,32145.2575,128581.03
8/14/2014,148150.575,29630.115,118520.46
8/15/2014,1074906.088,214981.2175,859924.87
8/16/2014,351119.15,70223.83,280895.32
8/17/2014,469323.4375,93864.6875,375458.75
8/18/2014,441179.45,88235.89,352943.56
8/19/2014,214839.5375,42967.9075,171871.63
8/20/2014,128377.975,25675.595,102702.38
8/21/2014,170453.35,34090.67,136362.68
8/22/2014,391782.2125,78356.4425,313425.77
8/23/2014,688519.8375,137703.9675,550815.87
8/24/2014,186486.5375,37297.3075,149189.23
8/25/2014,210889.3,42177.86,168711.44
8/26/2014,263616.2875,52723.2575,210893.03
8/27/2014,258835.6375,51767.1275,207068.51
8/28/2014,463586.4125,92717.2825,370869.13
8/29/2014,614352.075,122870.415,491481.66
8/30/2014,500661.75,100132.35,400529.4
8/31/2014,302974.6375,60594.9275,242379.71
9/1/2014,204660.375,40932.075,163728.3
9/2/2014,234141.1875,46828.2375,187312.95
9/3/2014,268799.3875,53759.8775,215039.51
9/4/2014,292983.85,58596.77,234387.08
9/5/2014,576969.725,115393.945,461575.78
9/6/2014,378955.9625,75791.1925,303164.77
9/7/2014,169044.3625,33808.8725,135235.49
9/8/2014,231326.9875,46265.3975,185061.59
9/9/2014,229329.2875,45865.8575,183463.43
9/10/2014,251974,50394.8,201579.2
9/11/2014,472345.4625,94469.0925,377876.37
9/12/2014,476334.1625,95266.8325,381067.33
9/13/2014,408171.0125,81634.2025,326536.81
9/14/2014,220975.6875,44195.1375,176780.55
9/15/2014,375328.0125,75065.6025,300262.41
9/16/2014,240344.9875,48068.9975,192275.99
9/17/2014,291224.3125,58244.8625,232979.45
9/18/2014,471678.9375,94335.7875,377343.15
9/19/2014,503563.8375,100712.7675,402851.07
9/20/2014,423441.7875,84688.3575,338753.43
9/21/2014,190577.25,38115.45,152461.8
9/22/2014,290341.25,58068.25,232273
9/23/2014,326815.5125,65363.1025,261452.41
9/24/2014,360852.425,72170.485,288681.94
9/25/2014,490746,98149.2,392596.8
9/26/2014,745957.7375,149191.5475,596766.19
9/27/2014,487845.6,97569.12,390276.48
9/28/2014,220001.625,44000.325,176001.3
9/29/2014,477331.275,95466.255,381865.02
9/30/2014,472178.05,94435.61,377742.44
10/1/2014,650847.2625,130169.4525,520677.81
10/2/2014,405236.65,81047.33,324189.32
10/3/2014,689496.675,137899.335,551597.34
10/4/2014,535448.7625,107089.7525,428359.01
10/5/2014,243782.325,48756.465,195025.86
10/6/2014,407198.5125,81439.7025,325758.81
10/7/2014,422870.5,84574.1,338296.4
10/8/2014,340683.5375,68136.7075,272546.83
10/9/2014,607018.0875,121403.6175,485614.47
10/10/2014,536936.6625,107387.3325,429549.33
10/11/2014,533223.75,106644.75,426579
10/12/2014,207455,41491,165964
10/13/2014,348174.7,69634.94,278539.76
10/14/2014,350087.325,70017.465,280069.86
10/15/2014,434008.95,86801.79,347207.16
10/16/2014,415092.875,83018.575,332074.3
10/17/2014,681105.5125,136221.1025,544884.41
10/18/2014,457206.7125,91441.3425,365765.37
10/19/2014,261471.6125,52294.3225,209177.29
10/20/2014,319416.3,63883.26,255533.04
10/21/2014,483507.725,96701.545,386806.18
10/22/2014,623705.6125,124741.1225,498964.49
10/23/2014,761519.2125,152303.8425,609215.37
10/24/2014,757449.7125,151489.9425,605959.77
10/25/2014,482469.025,96493.805,385975.22
10/26/2014,345959.8,69191.96,276767.84
10/27/2014,493451.2125,98690.2425,394760.97
10/28/2014,452693.9375,90538.7875,362155.15
10/29/2014,776493.6375,155298.7275,621194.91
